days,time,errands,escort,home,leisure,shopping,workplace
saturday,0,7.57E-05,0.0001459,0.002159,0.0005322,0,0.0001667
saturday,0.5,7.57E-05,0.0001459,0.002159,0.0005322,0,0.0001667
saturday,1,7.57E-05,0.0001459,0.002159,0.0005322,0,0.0001667
saturday,1.5,7.57E-05,0.0001459,0.002159,0.0005322,0,0.0001667
saturday,2,7.57E-05,0.0001459,0.002159,0.0005322,0,0.0001667
saturday,2.5,7.57E-05,0.0001459,0.002159,0.0005322,0,0.0001667
saturday,3,7.57E-05,0.0001459,0.002159,0.0005322,0,0.0001667
saturday,3.5,7.57E-05,0.0001459,0.002159,0.0005322,0,0.0001667
saturday,4,7.57E-05,0.0001459,0.002159,0.0005322,0,0.0001667
saturday,4.5,7.57E-05,0.0001459,0.002159,0.0005322,0,0.0001667
saturday,5,7.57E-05,0.0001459,0.002159,0.0005322,0,0.0001667
saturday,5.5,7.57E-05,0.0001459,0.002159,0.0005322,0,0.0001667
saturday,6,0.00053,0.0002553,0.0012594,0.0012418,0.0019108,0.0015559
saturday,6.5,0.00053,0.0002553,0.0012594,0.0012418,0.0019108,0.0015559
saturday,7,0.00053,0.0002553,0.0012594,0.0012418,0.0019108,0.0015559
saturday,7.5,0.00053,0.0002553,0.0012594,0.0012418,0.0019108,0.0015559
saturday,8,0.00053,0.0002553,0.0012594,0.0012418,0.0019108,0.0015559
saturday,8.5,0.00053,0.0002553,0.0012594,0.0012418,0.0019108,0.0015559
saturday,9,0.0047698,0.0016596,0.0075565,0.00683,0.0119422,0.0013614
saturday,9.5,0.0047698,0.0016596,0.0075565,0.00683,0.0119422,0.0013614
saturday,10,0.0047698,0.0016596,0.0075565,0.00683,0.0119422,0.0013614
saturday,10.5,0.0047698,0.0016596,0.0075565,0.00683,0.0119422,0.0013614
saturday,11,0.0058298,0.0023831,0.0151131,0.0086927,0.011783,0.0007347
saturday,11.5,0.0058298,0.0023831,0.0151131,0.0086927,0.011783,0.0007347
saturday,12,0.0058298,0.0023831,0.0151131,0.0086927,0.011783,0.0007347
saturday,12.5,0.0058298,0.0023831,0.0151131,0.0086927,0.011783,0.0007347
saturday,13,0.0058298,0.0023831,0.0151131,0.0086927,0.011783,0.0007347
saturday,13.5,0.0058298,0.0023831,0.0151131,0.0086927,0.011783,0.0007347
saturday,14,0.0042398,0.0019575,0.0125942,0.0115903,0.0057323,0.0003458
saturday,14.5,0.0042398,0.0019575,0.0125942,0.0115903,0.0057323,0.0003458
saturday,15,0.0042398,0.0019575,0.0125942,0.0115903,0.0057323,0.0003458
saturday,15.5,0.0042398,0.0019575,0.0125942,0.0115903,0.0057323,0.0003458
saturday,16,0.0042398,0.0019575,0.0125942,0.0115903,0.0057323,0.0003458
saturday,16.5,0.0042398,0.0019575,0.0125942,0.0115903,0.0057323,0.0003458
saturday,17,0.0028266,0.0017873,0.0157428,0.0099345,0.0038215,0.0002161
saturday,17.5,0.0028266,0.0017873,0.0157428,0.0099345,0.0038215,0.0002161
saturday,18,0.0028266,0.0017873,0.0157428,0.0099345,0.0038215,0.0002161
saturday,18.5,0.0028266,0.0017873,0.0157428,0.0099345,0.0038215,0.0002161
saturday,19,0.0028266,0.0017873,0.0157428,0.0099345,0.0038215,0.0002161
saturday,19.5,0.0028266,0.0017873,0.0157428,0.0099345,0.0038215,0.0002161
saturday,20,0.0008833,0.0006809,0.0081862,0.0041394,0.0006369,0.0001297
