Seconds,EPA_highway,EPA_city,WLTC_3b_low,WLTC_3b_middle,WLTC_3b_high,WLTC_3b_extrahigh,WLTC_2_low,WLTC_2_middle,WLTC_2_high,WLTC_2_full,WLTC_3b_full,EPA_full
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,2.2,0,0,0,0,0,0
3,3.22,0,0,0,0,4.4,0,0,0,0,0,0
4,7.89,0,0,0,0,6.3,0,0,0,0,0,0
5,13.04,0,0,0,0.8,7.9,0,0,1.1,0,0,0
6,18.19,0,0,0,3.6,9.2,0,0,3,0,0,0
7,23.34,0,0,0,8.6,10.4,0,0,5.7,0,0,0
8,27.84,0,0,0,14.6,11.5,0,0,8.4,0,0,0
9,31.54,0,0,0,20,12.9,0,0,11.1,0,0,0
10,35.08,0,0,0,24.4,14.7,0,0,14,0,0,0
11,38.62,0,0,0,28.2,17,0,0,17,0,0,0
12,41.52,0,0.2,1,31.7,19.8,0,1.6,20.1,0,0.2,0
13,43.61,0,1.7,2.1,35,23.1,1.2,3.6,22.7,1.2,1.7,0
14,45.06,0,5.4,4.8,37.6,26.7,2.6,6.3,23.6,2.6,5.4,0
15,46.67,0,9.9,9.1,39.7,30.5,4.9,9,24.5,4.9,9.9,0
16,48.28,0,13.1,14.2,41.5,34.1,7.3,11.8,24.8,7.3,13.1,0
17,49.41,0,16.9,19.8,43.6,37.5,9.4,14.2,24.7,9.4,16.9,0
18,50.69,0,21.7,25.5,46,40.6,11.4,16.6,24.6,11.4,21.7,0
19,51.82,0,26,30.5,48.4,43.3,12.7,18.5,24.8,12.7,26,0
20,52.95,0,27.5,34.8,50.5,45.7,13.3,20.8,25,13.3,27.5,0
21,53.91,4.83,28.1,38.8,51.9,47.7,13.4,23.4,25.3,13.4,28.1,4.83
22,54.88,9.5,28.3,42.9,52.6,49.3,13.3,26.9,25.6,13.3,28.3,9.5
23,55.68,13.84,28.8,46.4,52.8,50.5,13.1,30.3,26,13.1,28.8,13.84
24,56.17,18.51,29.1,48.3,52.9,51.3,12.5,32.8,26.1,12.5,29.1,18.51
25,56.49,23.01,30.8,48.7,53.1,52.1,11.1,34.1,26.3,11.1,30.8,23.01
26,57.45,27.2,31.9,48.5,53.3,52.7,8.9,34.2,26.6,8.9,31.9,27.2
27,57.78,27.84,34.1,48.4,53.1,53.4,6.2,33.6,26.9,6.2,34.1,27.84
28,57.61,29.13,36.6,48.2,52.3,54,3.8,32.1,27.3,3.8,36.6,29.13
29,56.81,33.31,39.1,47.8,50.7,54.5,1.8,30,27.7,1.8,39.1,33.31
30,56.17,34.92,41.3,47,48.8,55,0,27.5,28.1,0,41.3,34.92
31,55.52,36.05,42.5,45.9,46.5,55.6,0,25.1,28.5,0,42.5,36.05
32,55.68,36.21,43.3,44.9,43.8,56.3,0,22.8,29.3,0,43.3,36.21
33,56.01,35.57,43.9,44.4,40.3,57.2,0,20.5,30.4,0,43.9,35.57
34,56.49,34.6,44.4,44.3,36,58.5,1.5,17.9,31.8,1.5,44.4,34.6
35,57.45,33.64,44.5,44.5,30.7,60.2,2.8,15.1,33.7,2.8,44.5,33.64
36,58.1,32.83,44.2,45.1,25.4,62.3,3.8,13.4,35.8,3.8,44.2,32.83
37,58.26,31.86,42.7,45.7,21,64.7,4.6,12.8,37.8,4.6,42.7,31.86
38,58.74,27.36,39.9,46,16.7,67.1,5.3,13.7,39.5,5.3,39.9,27.36
39,59.06,23.98,37,46,13.4,69.2,6.1,16,40.8,6.1,37,23.98
40,59.38,23.98,34.6,46,12,70.7,6.6,18.1,41.8,6.6,34.6,23.98
41,59.55,24.46,32.3,46.1,12.1,71.9,7.2,20.8,42.4,7.2,32.3,24.46
42,59.55,24.94,29,46.7,12.8,72.7,7.9,23.7,43,7.9,29,24.94
43,59.55,25.75,25.1,47.7,15.6,73.4,8.7,26.5,43.4,8.7,25.1,25.75
44,59.55,27.52,22.2,48.9,19.9,73.8,9.3,29.3,44,9.3,22.2,27.52
45,59.55,30.74,20.9,50.3,23.4,74.1,10,32,44.5,10,20.9,30.74
46,59.55,33.96,20.4,51.6,24.6,74,10.7,34.5,45,10.7,20.4,33.96
47,59.71,36.53,19.5,52.6,25.2,73.6,11.5,36.8,45.5,11.5,19.5,36.53
48,60.03,36.85,18.4,53,26.4,72.5,12.3,38.6,46.1,12.3,18.4,36.85
49,60.83,36.53,17.8,53,28.8,70.8,13.3,39.8,46.5,13.3,17.8,36.53
50,62.12,36.37,17.8,52.9,31.8,68.6,14.2,40.6,46.9,14.2,17.8,36.37
51,63.25,34.28,17.4,52.7,35.3,66.2,14.8,41.1,47.4,14.8,17.4,34.28
52,64.37,30.58,15.7,52.6,39.5,64,14.7,41.9,48,14.7,15.7,30.58
53,65.5,27.52,13.1,53.1,44.5,62.2,14.4,42.8,48.5,14.4,13.1,27.52
54,66.63,25.43,12.1,54.3,49.3,60.9,14.1,44.3,49.1,14.1,12.1,25.43
