profile_id,schedule,model,sample_index,pool_seed,weather_key,weather_source,battery_cap_kwh,total_hours,emobpy_timestep_h,output_timestep_h,ref_year,demand_sum_kwh,availability_hours,generation_version
central_germany_tmy_m00_Tesla_Model_Y_commuter_s0002,commuter,Tesla Model Y,2,110003,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,60.0,8760,0.5,1.0,2009,2221.7024780965417,6955.0,emobpy_pool_v1
central_germany_tmy_m01_Volkswagen_ID_3_commuter_s0001,commuter,Volkswagen ID_3,1,210002,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,55.0,8760,0.5,1.0,2009,1784.688286481849,6764.0,emobpy_pool_v1
central_germany_tmy_m02_Tesla_Model_3_commuter_s0001,commuter,Tesla Model 3,1,310002,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,60.0,8760,0.5,1.0,2009,2018.8483352374283,6792.0,emobpy_pool_v1
central_germany_tmy_m00_Tesla_Model_Y_commuter_s0000,commuter,Tesla Model Y,0,110001,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,60.0,8760,0.5,1.0,2009,2149.968902534705,6729.0,emobpy_pool_v1
central_germany_tmy_m01_Volkswagen_ID_3_commuter_s0000,commuter,Volkswagen ID_3,0,210001,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,55.0,8760,0.5,1.0,2009,2003.1778631943644,6767.0,emobpy_pool_v1
central_germany_tmy_m01_Volkswagen_ID_3_non_commuter_s0001,non-commuter,Volkswagen ID_3,1,220002,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,55.0,8760,0.5,1.0,2009,1923.680999610847,6954.0,emobpy_pool_v1
central_germany_tmy_m00_Tesla_Model_Y_non_commuter_s0002,non-commuter,Tesla Model Y,2,120003,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,60.0,8760,0.5,1.0,2009,2167.338170593574,7029.0,emobpy_pool_v1
central_germany_tmy_m01_Volkswagen_ID_3_commuter_s0002,commuter,Volkswagen ID_3,2,210003,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,55.0,8760,0.5,1.0,2009,2062.651541043673,6863.0,emobpy_pool_v1
central_germany_tmy_m01_Volkswagen_ID_3_non_commuter_s0002,non-commuter,Volkswagen ID_3,2,220003,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,55.0,8760,0.5,1.0,2009,2041.888183624093,7029.0,emobpy_pool_v1
central_germany_tmy_m02_Tesla_Model_3_commuter_s0000,commuter,Tesla Model 3,0,310001,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,60.0,8760,0.5,1.0,2009,2370.7376043231197,6754.0,emobpy_pool_v1
central_germany_tmy_m00_Tesla_Model_Y_non_commuter_s0001,non-commuter,Tesla Model Y,1,120002,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,60.0,8760,0.5,1.0,2009,2413.598959619656,7012.0,emobpy_pool_v1
central_germany_tmy_m02_Tesla_Model_3_commuter_s0002,commuter,Tesla Model 3,2,310003,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,60.0,8760,0.5,1.0,2009,2188.2775456252607,6696.0,emobpy_pool_v1
central_germany_tmy_m01_Volkswagen_ID_3_non_commuter_s0000,non-commuter,Volkswagen ID_3,0,220001,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,55.0,8760,0.5,1.0,2009,2079.751720607809,6987.0,emobpy_pool_v1
central_germany_tmy_m02_Tesla_Model_3_non_commuter_s0000,non-commuter,Tesla Model 3,0,320001,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,60.0,8760,0.5,1.0,2009,2179.449760673452,7017.0,emobpy_pool_v1
central_germany_tmy_m00_Tesla_Model_Y_commuter_s0001,commuter,Tesla Model Y,1,110002,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,60.0,8760,0.5,1.0,2009,2448.3255002807673,6657.0,emobpy_pool_v1
central_germany_tmy_m00_Tesla_Model_Y_non_commuter_s0000,non-commuter,Tesla Model Y,0,120001,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,60.0,8760,0.5,1.0,2009,2517.858037871346,6993.0,emobpy_pool_v1
central_germany_tmy_m02_Tesla_Model_3_non_commuter_s0002,non-commuter,Tesla Model 3,2,320003,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,60.0,8760,0.5,1.0,2009,1851.0519799245858,7133.0,emobpy_pool_v1
central_germany_tmy_m03_Skoda_Enyaq_commuter_s0000,commuter,Skoda Enyaq,0,410001,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,55.0,8760,0.5,1.0,2009,1952.741412758911,6900.0,emobpy_pool_v1
central_germany_tmy_m03_Skoda_Enyaq_commuter_s0001,commuter,Skoda Enyaq,1,410002,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,55.0,8760,0.5,1.0,2009,2068.772305320868,6873.0,emobpy_pool_v1
central_germany_tmy_m02_Tesla_Model_3_non_commuter_s0001,non-commuter,Tesla Model 3,1,320002,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,60.0,8760,0.5,1.0,2009,2407.89522702442,6850.0,emobpy_pool_v1
central_germany_tmy_m03_Skoda_Enyaq_commuter_s0002,commuter,Skoda Enyaq,2,410003,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,55.0,8760,0.5,1.0,2009,2162.3997740286754,6813.0,emobpy_pool_v1
central_germany_tmy_m04_Fiat_500e_non_commuter_s0001,non-commuter,Fiat 500e,1,520002,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,23.8,8760,0.5,1.0,2009,1411.1663867898822,7055.0,emobpy_pool_v1
central_germany_tmy_m04_Fiat_500e_commuter_s0000,commuter,Fiat 500e,0,510001,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,23.8,8760,0.5,1.0,2009,1396.9173211702134,6834.0,emobpy_pool_v1
central_germany_tmy_m04_Fiat_500e_commuter_s0002,commuter,Fiat 500e,2,510003,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,23.8,8760,0.5,1.0,2009,1652.181539569599,6912.0,emobpy_pool_v1
central_germany_tmy_m04_Fiat_500e_non_commuter_s0002,non-commuter,Fiat 500e,2,520003,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,23.8,8760,0.5,1.0,2009,1478.0728782787492,7053.0,emobpy_pool_v1
central_germany_tmy_m03_Skoda_Enyaq_non_commuter_s0002,non-commuter,Skoda Enyaq,2,420003,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,55.0,8760,0.5,1.0,2009,1897.0794517057952,7123.0,emobpy_pool_v1
central_germany_tmy_m04_Fiat_500e_commuter_s0001,commuter,Fiat 500e,1,510002,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,23.8,8760,0.5,1.0,2009,1524.4282955637673,6703.0,emobpy_pool_v1
central_germany_tmy_m03_Skoda_Enyaq_non_commuter_s0001,non-commuter,Skoda Enyaq,1,420002,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,55.0,8760,0.5,1.0,2009,2245.1917032478473,7031.0,emobpy_pool_v1
central_germany_tmy_m03_Skoda_Enyaq_non_commuter_s0000,non-commuter,Skoda Enyaq,0,420001,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,55.0,8760,0.5,1.0,2009,2377.343824610788,6744.0,emobpy_pool_v1
central_germany_tmy_m04_Fiat_500e_non_commuter_s0000,non-commuter,Fiat 500e,0,520001,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,23.8,8760,0.5,1.0,2009,1547.4508298365563,6972.0,emobpy_pool_v1
central_germany_tmy_m05_Hyundai_Kona_Electric_commuter_s0001,commuter,Hyundai Kona Electric,1,610002,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,51.0,8760,0.5,1.0,2009,1922.6780279073917,6773.0,emobpy_pool_v1
central_germany_tmy_m05_Hyundai_Kona_Electric_non_commuter_s0000,non-commuter,Hyundai Kona Electric,0,620001,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,51.0,8760,0.5,1.0,2009,1796.411124062593,7149.0,emobpy_pool_v1
central_germany_tmy_m05_Hyundai_Kona_Electric_commuter_s0002,commuter,Hyundai Kona Electric,2,610003,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,51.0,8760,0.5,1.0,2009,1688.6966005759443,6847.0,emobpy_pool_v1
central_germany_tmy_m05_Hyundai_Kona_Electric_non_commuter_s0002,non-commuter,Hyundai Kona Electric,2,620003,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,51.0,8760,0.5,1.0,2009,2113.5580680712255,7008.0,emobpy_pool_v1
central_germany_tmy_m06_Renault_Zoe_non_commuter_s0000,non-commuter,Renault Zoe,0,720001,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,44.1,8760,0.5,1.0,2009,1727.1558155775422,6997.0,emobpy_pool_v1
central_germany_tmy_m06_Renault_Zoe_commuter_s0000,commuter,Renault Zoe,0,710001,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,44.1,8760,0.5,1.0,2009,1689.457932190614,6968.0,emobpy_pool_v1
central_germany_tmy_m07_Volkswagen_ID_4_commuter_s0001,commuter,Volkswagen ID_4,1,810002,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,55.0,8760,0.5,1.0,2009,1988.89141426214,6859.0,emobpy_pool_v1
central_germany_tmy_m05_Hyundai_Kona_Electric_non_commuter_s0001,non-commuter,Hyundai Kona Electric,1,620002,central_germany_tmy,PVGIS SARAH3 TMY at lat=51.16 lon=10.45,51.0,8760,0.5,1.0,2009,2034.3721769208757,7065.0,emobpy_pool_v1
