temp_air,pressure,dew_point,relative_humidity
1.13,100140.0,0.49627314028531433,95.53
0.93,97090.0,0.3391637334409752,95.82
0.74,97080.0,0.19319042378763526,96.12
0.54,97120.0,0.037003043147272846,96.42
0.34,97140.0,-0.12086812127175384,96.71
0.14,97150.0,-0.277572009980561,97.01
-0.05,97160.0,-0.42456669845822487,97.31
-0.25,97200.0,-0.5831874671082268,97.6
-0.45,97250.0,-0.7406553623085782,97.9
0.24,97310.0,0.15703033565572028,99.4
1.05,97350.0,0.4340374420307326,95.65
1.81,97380.0,0.13822559856884406,88.65
2.43,97410.0,0.22531057635766888,85.35
2.84,97390.0,0.10861810519121948,82.2
2.85,97420.0,0.11839228581123763,82.2
2.7,97450.0,-0.02822139245904599,82.2
2.35,97490.0,0.14677258976873053,85.35
1.99,97540.0,0.31572064521409304,88.65
1.55,97600.0,0.40046622239681945,92.05
1.17,97650.0,0.024106179315764458,92.05
0.79,97660.0,0.1753765576101651,95.65
0.8,97710.0,0.1853250800408959,95.65
0.81,97760.0,0.19527360032153365,95.65
0.36,97800.0,-0.2524119409091935,95.65
0.04,97780.0,-0.04283026726451964,99.4
-0.26,97800.0,-0.8763742425143785,95.6
-0.47,97820.0,-0.552475334997658,99.4
-0.52,97850.0,-0.602440578721949,99.4
-0.71,97890.0,-0.792308571654478,99.4
-0.91,97890.0,-0.9921697310760182,99.4
-0.71,97910.0,-1.3240431532144368,95.6
-0.62,97930.0,-0.7023710881377067,99.4
-1.69,97970.0,-1.7716293722701062,99.4
-1.8,98010.0,-2.4084149941729245,95.6
-1.28,98040.0,-1.8910967636518978,95.6
-0.54,98040.0,-0.6224266782619347,99.4
0.45,98020.0,-0.1628744843450353,95.65
1.03,98000.0,-0.6463924660182904,88.55
1.63,97990.0,-0.047033654737040555,88.6
1.57,97990.0,-0.1061958404802799,88.6
1.18,97980.0,-0.4907551144892774,88.6
0.53,98000.0,-0.08328578027378683,95.65
0.0,98010.0,-0.617723101868977,95.6
-0.19,98020.0,-0.8067372523024589,95.6
-0.92,98000.0,-1.5329568190070413,95.6
-0.93,98030.0,-1.5429051127348947,95.6
-0.73,98020.0,-1.872506946303546,91.95
-0.5,98000.0,-1.115130446720838,95.6
-0.43,97970.0,-0.5125031452903462,99.4
-0.46,97950.0,-0.5424822871314868,99.4
-0.7,97900.0,-1.3140949073429344,95.6
-0.72,97890.0,-1.8626031421619422,91.95
-0.8,97860.0,-1.9418336881346998,91.95
-0.81,97830.0,-1.9517375245163122,91.95
-0.85,97830.0,-1.9913529103429088,91.95
-1.05,97820.0,-2.1894308066843284,91.95
-0.54,97800.0,-1.6843353567389936,91.95
-0.48,97820.0,-1.0952340485145793,95.6
-0.36,97810.0,-1.4986808282681872,92.0
-0.14,97820.0,-1.280787711570825,92.0
0.05,97800.0,-1.6280462260168733,88.45
0.01,97780.0,-1.1322253340584332,92.0
0.0,97780.0,-1.142129464530583,92.0
-0.07,97800.0,-1.2114584899501781,92.0
-0.19,97820.0,-1.3303087042805557,92.0
-0.33,97840.0,-1.46896801641836,92.0
-0.43,97860.0,-1.0454930910660534,95.6
-0.46,97890.0,-1.0753376590093795,95.6
-0.68,97930.0,-1.8229879658954038,91.95
-0.68,97960.0,-1.8229879658954038,91.95
-0.65,98000.0,-1.2643537106146154,95.6
-0.64,98020.0,-1.2544054777947853,95.6
-0.63,98030.0,-1.2444572471502313,95.6
-0.78,98020.0,-1.3936809352228672,95.6
-0.7,98030.0,-1.3140949073429344,95.6
-0.76,98070.0,-1.3737844152011809,95.6
-0.81,98070.0,-1.423525731570044,95.6
-0.86,98070.0,-2.0012567668746066,91.95
-0.94,98060.0,-1.552853408638045,95.6
-0.99,98080.0,-1.6025949207832748,95.6
-1.14,98140.0,-2.278566385961085,91.95
-1.1,98160.0,-2.2389505326483663,91.95
-0.84,98190.0,-2.50555045642231,88.45
-0.48,98190.0,-2.1505993402267305,88.45
-0.29,98170.0,-1.963267087690771,88.45
-0.05,98130.0,-1.726639894627853,88.45
0.09,98110.0,-1.5886089224802005,88.45
0.01,98090.0,-1.6674836232149328,88.45
-0.13,98090.0,-1.8055152509963817,88.45
-0.35,98100.0,-2.022424412814941,88.45
-0.49,98110.0,-1.105182246530076,95.6
-0.58,98140.0,-1.1947161265565789,95.6
-0.88,98140.0,-1.4931636658485823,95.6
-0.87,98150.0,-2.0111606274363294,91.95
-0.85,98150.0,-1.9913529103429088,91.95
-0.87,98140.0,-2.0111606274363294,91.95
-0.88,98140.0,-1.4931636658485823,95.6
-0.85,98120.0,-1.9913529103429088,91.95
-0.77,98140.0,-1.9121222031699099,91.95
-0.77,98130.0,-1.9121222031699099,91.95
-0.81,98120.0,-1.9517375245163122,91.95
-0.78,98100.0,-1.9220260274615006,91.95
-0.83,98090.0,-1.9715452093695762,91.95
-0.77,98110.0,-1.9121222031699099,91.95
-1.12,98120.0,-2.2587584512445487,91.95
-1.05,98150.0,-2.1894308066843284,91.95
-0.81,98170.0,-2.4759709069548155,88.45
-0.36,98180.0,-2.0322839874914305,88.45
-0.06,98170.0,-1.7364992936852537,88.45
0.29,98120.0,-1.3837360283936162,88.5
0.47,98090.0,-0.676639660714633,92.0
0.53,98090.0,-0.6172160670770783,92.0
0.29,98090.0,-0.8549113064873436,92.0
0.07,98100.0,-0.5480865075502485,95.6
0.02,98100.0,-0.597826921187484,95.6
-0.03,98100.0,-1.1718418799715584,92.0
-0.6,98120.0,-1.74375780680122,91.95
-0.57,98120.0,-1.7140465636353173,91.95
-0.41,98110.0,-1.555587212635097,91.95
-0.29,98090.0,-1.4293509900102395,92.0
-0.19,98090.0,-1.3303087042805557,92.0
-0.14,98040.0,-1.280787711570825,92.0
0.1,98030.0,-0.5182422854706193,95.6
0.16,98020.0,-0.9836638574648697,92.0
0.2,97980.0,-0.9440476158607201,92.0
0.21,97960.0,-0.9341435654697828,92.0
0.25,97900.0,-0.8945274039463599,92.0
0.29,97890.0,-0.8549113064873436,92.0
0.36,97890.0,-0.7855832900885754,92.0
