kWh,1 Occupant,2 Occupants,3 Occupants,4+ Occupants
0,0.0004738086313625129,0.00038849925358451514,0.0,0.0
30,0.0009777961564423835,0.000786033373531461,1.1800859309884681e-05,3.841925168736139e-06
60,0.0015149804646113468,0.0012076604704448883,3.5402577929654055e-05,1.1525775506208415e-05
90,0.00210950467084329,0.0016533805443247973,7.071461218173865e-05,2.3021299633135444e-05
120,0.002788529779483834,0.0021081354845671365,0.00011779732451785146,3.835874892879861e-05
150,0.0035611094586481865,0.002568913669051096,0.00017665071493799247,5.753812339319792e-05
180,0.004430261597708083,0.0030387267198974865,0.0002475765957007265,8.055942302633336e-05
210,0.005395986196663523,0.0035115513928646873,0.0003302731545474887,0.00010739239644892354
240,0.006446211698027564,0.003990399310073508,0.00042474039147827916,0.00013794628952312432
270,0.007577920212428469,0.00448129371576557,0.0005309783064930978,0.00017243286190390543
300,0.00878507596112277,0.004987246232061683,0.0006489868995919447,0.0002108521135912668
330,0.010079750501597408,0.005511268481082657,0.0007787661707748197,0.0002529015307923946
360,0.01147703328071106,0.0060473372185868715,0.0009203161200417229,0.0002988836273001027
390,0.012979942187835464,0.006595452444574328,0.0010615642570500612,0.0003487984031143911
420,0.014609602448572769,0.0071526025369242135,0.001205830516644048,0.0004023433444424459
450,0.01639921084601207,0.00771878749563653,0.0013579438949607202,0.00045982096507708113
480,0.018391017831357666,0.008297018942832088,0.0015203188900685962,0.0005212312650182966
510,0.020642363302672537,0.008884285256390076,0.001694162751001936,0.0005865742442660922
540,0.02315928303870015,0.009477574814189683,0.0018692138609695348,0.0006528247648923296
570,0.025944794928812253,0.010082910860472532,0.0020512066528841242,0.0007221004234467057
600,0.029008133714486344,0.010700293395238623,0.0022398393144871407,0.0007986364130286145
630,0.03235714590808894,0.011329722418487955,0.0024360172825542772,0.0008896930646655891
660,0.036045821550480396,0.011971197930220525,0.0026397405570855346,0.0010025307093851623
690,0.040098907334508944,0.012621708308315528,0.0028498018890466535,0.0011401744851154726
720,0.04450903961010755,0.01328426517489377,0.0030674085274718923,0.001299296740135568
750,0.04929489911248725,0.013961880152076065,0.0032844115413800026,0.0014732421710035427
780,0.054438529399886235,0.014660576484104033,0.003506243551425149,0.0016550529604846783
810,0.05999156655945489,0.01538637741521929,0.003735922680192982,0.0018389813465155105
840,0.06602550439040963,0.01614229456754265,0.003975561613493453,0.0020207921359966462
870,0.07256527065896101,0.016928327941074107,0.004226971224877953,0.002198670246171201
900,0.07964496751500963,0.017750500780055294,0.004489849702087917,0.002374128246003245
930,0.08723453678041299,0.018611824706607008,0.0047626879838305195,0.0025520063561778
960,0.09527796642843171,0.019518322964970875,0.005044580633330066,0.0027395649077223993
990,0.10381159184710145,0.0204699955551469,0.005337338524137947,0.0029464843420070855
1020,0.11283058441342746,0.02146985409925588,0.005654241395631014,0.0031836551555731586
1050,0.12235673328867368,0.022523921841539448,0.0060013254929805636,0.003457732651862524
1080,0.1323947765591537,0.023635210404118413,0.006378590816186596,0.0037693218584608093
1110,0.14288743468459197,0.024812754653355196,0.0067860373652491104,0.004117212720196759
1140,0.15381104741231413,0.026059566211370615,0.00721762889499681,0.0044923298232859565
1170,0.1651336854727672,0.027378656700285484,0.007670347282844049,0.0048855977539439864
1200,0.17683168861327678,0.028782072608583033,0.00815022877396212,0.005290966236314571
1230,0.18890741078755277,0.030269813936263268,0.008657273368351027,0.005702384994541432
1260,0.20130236529957096,0.03184188068332619,0.009185444820839474,0.00612590430448085
1290,0.21396292425519564,0.033507307716134235,0.009725688763670512,0.006573624717845376
1320,0.2268533256653717,0.03526609503468738,0.010311204545286274,0.007057646786347566
1350,0.23992066592941266,0.03712727750534808,0.01094501028827241,0.007587045923771836
1380,0.2531499159582472,0.039090855128116324,0.011630124115214562,0.008164847268046328
1410,0.26650851272555437,0.04115682790299211,0.012366546026112736,0.008797101095027312
1440,0.27995722366950154,0.043337242318458695,0.013136167285453042,0.00947775712885852
1470,0.2934724790740955,0.04562607513027444,0.013938987893235479,0.010200765093683667
1500,0.307031886200198,0.04802633796056017,0.01478708033980264,0.010957049575718341
1530,0.3206221663345733,0.05054706567567831,0.015689498992911468,0.011740560299106263
1560,0.3342352013548115,0.053185246653508045,0.016631153239633725,0.012542221850063016
1590,0.3478524614201701,0.05594991576041179,0.01759997058962682,0.013368084504444879
1620,0.3614498034156753,0.0588440846185104,0.018617077900990278,0.014224198538108128
1650,0.37500616247351226,0.06186778334402503,0.019691529541481057,0.015131739916549734
1680,0.3885041253720062,0.06502884215446983,0.02082936175627045,0.016102809191482256
1710,0.40191843237711555,0.06833295301565312,0.022036610790529754,0.017143456638761965
1740,0.4152329981384891,0.07177854988407205,0.023325349134601558,0.018250657120460728
1770,0.42844924106413146,0.0753679818249809,0.02468652242072892,0.019421385498650405
1800,0.44156598417718773,0.0790944124561654,0.0261110762811549,0.020646566359546575
1830,0.4545877543117155,0.08296651524933348,0.027592974470708194,0.021920149427292965
1860,0.46750972284471987,0.08698907868365723,0.02915636197007399,0.023233059288105155
1890,0.4803304110104088,0.09114228628558174,0.030798220656666642,0.02459134621783943
1920,0.4930560356608882,0.09543318525086969,0.03251855053048614,0.026004085630280196
1950,0.5056700587624006,0.09986361266901476,0.03430527910118991,0.02748942835299629
1980,0.5181563346068075,0.10442411204655765,0.03617349698170619,0.029059474937700277
2010,0.5305049645169696,0.10911808651649484,0.038096041068764123,0.03071725052232028
2040,0.5426852263790826,0.11393885027771813,0.04011214695597715,0.032471830520640725
2070,0.5546859238235772,0.11888468670561868,0.04223086901110223,0.0343232149326616
2100,0.5664907904267399,0.12396225148508344,0.04446729784706759,0.03628047917216733
2130,0.578103206224667,0.12916247963352884,0.046839542199387116,0.038340598101229785
2160,0.589554527087931,0.13449139439519642,0.04932345708737563,0.04049752144399267
2190,0.60084855555714,0.13994920658363472,0.051882825040005354,0.04274217378667158
2220,0.6119688441352181,0.14553001341948688,0.054538772915375816,0.045068504853410234
2250,0.6228841878460617,0.15124284976911534,0.05730337320382962,0.04747046436835235
2280,0.6335428600658392,0.15708467389417816,0.060191716518294996,0.0499450271935698
2310,0.6439529185591729,0.1630483482502489,0.06320983910394325,0.052489168191134444
2340,0.6541312031487576,0.16913703504055447,0.06632556777401136,0.05511801305068696
2370,0.6640648576258694,0.1753494995000254,0.06952689040060847,0.057846687461868065
2400,0.6737496871242814,0.1816899277834095,0.07284241878584652,0.06069031711431844
2430,0.683148209457997,0.1881473575861871,0.07626901408223641,0.0636579774218225
2460,0.692247809849442,0.1947126034608897,0.07981328597824072,0.0667516952267921
2490,0.7010671690338277,0.20139855515019436,0.08348389648568026,0.06997144027784795
2520,0.7095995872967488,0.20820557404875562,0.08725434648825307,0.07331318914154564
2550,0.7178611801674502,0.21514130967676026,0.0911087606611586,0.07677064953099463
2580,0.7258259636184414,0.22220681610195064,0.09509180721866446,0.08034025178343972
2610,0.7334830732479842,0.22940248483520245,0.09918800319190627,0.0840222076585359
2640,0.7408692669486264,0.2367450604955074,0.10340121177779367,0.08782347497351785
2670,0.7479737708553107,0.24419478967087077,0.10771697616914139,0.09174453775045409
2700,0.7548154769555042,0.2517336327447889,0.11211383751436549,0.09578179607521015
2730,0.7614458100841014,0.25939309128464544,0.116569703156139,0.0999262955395187
2760,0.7678861670767478,0.2671696718087803,0.12113416084854416,0.10417431522372819
2790,0.7741661232492865,0.2750686446559049,0.1258004801782149,0.10852446356439163
2820,0.7803039670113101,0.2830952801647307,0.1305716490865111,0.11298012871598855
2850,0.7863172021211747,0.29123774266032276,0.1354532209189903,0.11754118967300183
2880,0.792239176256438,0.2994985016728203,0.14041917945896423,0.1222065573857773
2910,0.7980745671456262,0.30787192546885733,0.14544888074794707,0.12697145213638855
2940,0.8038199343948557,0.316347322789905,0.15056550396739654,0.1318311244582884
