# Data source (extracted from Figure): econstor, "Stromverbrauch privater Haushalte in Deutschland: Eine ökonometrische Analyse", https://www.econstor.eu/handle/10419/116776
1 Occupant,1 Occupant,2 Occupants,2 Occupants,3 Occupants,3 Occupants,4+ Occupants,4+ Occupants
X,Y,X,Y,X,Y,X,Y
0,0.0000157,0,1.29E-05,0,0,0,0
30,1.67E-05,30,1.32E-05,30,3.91E-07,30,1.27E-07
60,1.78E-05,60,1.40E-05,60,7.82E-07,60,2.54E-07
90,1.97E-05,90,1.48E-05,90,1.17E-06,90,3.80E-07
120,2.25E-05,120,1.51E-05,120,1.56E-06,120,5.07E-07
150,2.56E-05,150,1.53E-05,150,1.95E-06,150,6.34E-07
180,2.88E-05,180,1.56E-05,180,2.35E-06,180,7.61E-07
210,3.20E-05,210,1.57E-05,210,2.74E-06,210,8.87E-07
240,3.48E-05,240,1.59E-05,240,3.13E-06,240,1.01E-06
270,3.75E-05,270,1.63E-05,270,3.52E-06,270,1.14E-06
300,4.00E-05,300,1.68E-05,300,3.91E-06,300,1.27E-06
330,4.29E-05,330,1.74E-05,330,4.30E-06,330,1.39E-06
360,4.63E-05,360,1.78E-05,360,4.69E-06,360,1.52E-06
390,4.98E-05,390,1.82E-05,390,4.68E-06,390,1.65E-06
420,5.40E-05,420,1.85E-05,420,4.78E-06,420,1.77E-06
450,5.93E-05,450,1.88E-05,450,5.04E-06,450,1.90E-06
480,6.60E-05,480,1.92E-05,480,5.38E-06,480,2.03E-06
510,7.46E-05,510,1.95E-05,510,5.76E-06,510,2.16E-06
540,8.34E-05,540,1.97E-05,540,5.80E-06,540,2.19E-06
570,9.23E-05,570,2.01E-05,570,6.03E-06,570,2.29E-06
600,0.000101506,600,2.05E-05,600,6.25E-06,600,2.53E-06
630,0.000110972,630,2.09E-05,630,6.50E-06,630,3.01E-06
660,0.000122227,660,2.13E-05,660,6.75E-06,660,3.73E-06
690,0.000134302,690,2.16E-05,690,6.96E-06,690,4.55E-06
720,0.000146133,720,2.20E-05,720,7.21E-06,720,5.26E-06
750,0.000158583,750,2.25E-05,750,7.19E-06,750,5.75E-06
780,0.000170438,780,2.32E-05,780,7.35E-06,780,6.01E-06
810,0.000184004,810,2.41E-05,810,7.61E-06,810,6.08E-06
840,0.000199939,840,2.51E-05,840,7.94E-06,840,6.01E-06
870,0.0002167,870,2.61E-05,870,8.33E-06,870,5.88E-06
900,0.000234591,900,2.73E-05,900,8.71E-06,900,5.80E-06
930,0.000251486,930,2.86E-05,930,9.04E-06,930,5.88E-06
960,0.000266525,960,3.01E-05,960,9.34E-06,960,6.20E-06
990,0.000282768,990,3.16E-05,990,9.70E-06,990,6.84E-06
1020,0.000298851,1020,3.32E-05,1020,1.05E-05,1020,7.84E-06
1050,0.000315656,1050,3.50E-05,1050,1.15E-05,1050,9.06E-06
1080,0.000332618,1080,3.69E-05,1080,1.25E-05,1080,1.03E-05
1110,0.000347682,1110,3.91E-05,1110,1.35E-05,1110,1.15E-05
1140,0.000361962,1140,4.14E-05,1140,1.43E-05,1140,1.24E-05
1170,0.000375184,1170,4.38E-05,1170,1.50E-05,1170,1.30E-05
1200,0.000387622,1200,4.66E-05,1200,1.59E-05,1200,1.34E-05
1230,0.000400138,1230,4.94E-05,1230,1.68E-05,1230,1.36E-05
1260,0.000410716,1260,5.22E-05,1260,1.75E-05,1260,1.40E-05
1290,0.000419517,1290,5.53E-05,1290,1.79E-05,1290,1.48E-05
1320,0.000427133,1320,5.84E-05,1320,1.94E-05,1320,1.60E-05
1350,0.000432996,1350,6.18E-05,1350,2.10E-05,1350,1.75E-05
1380,0.000438361,1380,6.52E-05,1380,2.27E-05,1380,1.91E-05
1410,0.000442647,1410,6.86E-05,1410,2.44E-05,1410,2.09E-05
1440,0.000445633,1440,7.24E-05,1440,2.55E-05,1440,2.25E-05
1470,0.000447838,1470,7.60E-05,1470,2.66E-05,1470,2.39E-05
